,id,date,employee,action,frame,seconds
1269,2525,2022-05-26 08:07:11,6,5.0,2141.0,85.64
1270,2526,2022-05-26 08:15:16,1,15.0,2247.0,89.88
1271,2527,2022-05-26 08:15:18,1,4.0,2297.0,91.88
1272,2528,2022-05-26 08:17:36,1,14.0,2807.0,112.28
1273,2529,2022-05-26 08:17:37,1,5.0,2832.0,113.28
1274,2530,2022-05-26 08:29:16,1,15.0,3046.0,121.84
1275,2531,2022-05-26 08:29:20,1,4.0,3146.0,125.84
1276,2532,2022-05-26 08:30:40,2,14.0,3386.0,135.44
1277,2533,2022-05-26 08:30:41,2,5.0,3411.0,136.44
1278,2534,2022-05-26 08:31:15,1,14.0,3621.0,144.84
1279,2535,2022-05-26 08:31:19,1,5.0,3721.0,148.84
1280,2536,2022-05-26 08:32:35,2,15.0,3921.0,156.84
1281,2537,2022-05-26 08:32:37,2,4.0,3971.0,158.84
1282,2538,2022-05-26 08:33:31,1,15.0,4181.0,167.24
1283,2539,2022-05-26 08:33:33,1,4.0,4231.0,169.24
1284,2540,2022-05-26 08:39:04,0,14.0,4486.0,179.44
1285,2541,2022-05-26 08:39:08,0,5.0,4587.0,183.48
1286,2542,2022-05-26 08:42:33,6,15.0,4731.0,189.24
1287,2543,2022-05-26 08:42:36,6,4.0,4806.0,192.24
1288,2544,2022-05-26 08:43:48,0,15.0,5026.0,201.04
1289,2545,2022-05-26 08:43:53,0,5.0,5152.0,206.08
1290,2546,2022-05-26 08:46:17,6,14.0,5331.0,213.24
1291,2547,2022-05-26 08:46:19,6,5.0,5381.0,215.24
1292,2548,2022-05-26 09:02:36,6,15.0,6426.0,257.04
1293,2549,2022-05-26 09:02:38,6,4.0,6476.0,259.04
1294,2550,2022-05-26 09:06:01,1,15.0,6711.0,268.44
1295,2551,2022-05-26 09:06:07,1,4.0,6861.0,274.44
1296,2552,2022-05-26 09:09:41,6,14.0,7011.0,280.44
1297,2553,2022-05-26 09:09:42,6,5.0,7036.0,281.44
1298,2554,2022-05-26 09:11:33,0,15.0,7251.0,290.04
1299,2555,2022-05-26 09:12:13,0,2.0,8251.0,330.04
1300,2556,2022-05-26 09:13:39,0,12.0,8521.0,340.84
1301,2557,2022-05-26 09:13:54,0,4.0,8896.0,355.84
1302,2558,2022-05-26 09:15:12,0,14.0,9086.0,363.44
1303,2559,2022-05-26 09:15:26,0,2.0,9437.0,377.48
1304,2560,2022-05-26 09:17:12,0,12.0,9686.0,387.44
1305,2561,2022-05-26 09:17:50,0,9.0,10637.0,425.48
1306,2562,2022-05-26 09:18:06,0,19.0,11036.0,441.44
1307,2563,2022-05-26 09:18:53,0,2.0,11451.0,458.04
1308,2564,2022-05-26 09:19:35,0,12.0,11701.0,468.04
1309,2565,2022-05-26 09:19:44,0,9.0,11926.0,477.04
1310,2566,2022-05-26 09:20:18,0,19.0,12197.0,487.88
1311,2567,2022-05-26 09:20:19,0,9.0,12222.0,488.88
1312,2568,2022-05-26 09:23:09,6,15.0,12731.0,509.24
1313,2569,2022-05-26 09:23:11,6,4.0,12781.0,511.24
1314,2570,2022-05-26 09:29:45,0,19.0,13052.0,522.08
1315,2571,2022-05-26 09:29:45,0,9.0,13052.0,522.08
1316,2572,2022-05-26 09:37:39,2,14.0,13321.0,532.84
1317,2573,2022-05-26 09:37:57,2,2.0,13771.0,550.84
1318,2574,2022-05-26 09:38:07,2,12.0,14001.0,560.04
1319,2575,2022-05-26 09:38:09,2,9.0,14051.0,562.04
1320,2576,2022-05-26 09:38:37,2,19.0,14451.0,578.04
1321,2577,2022-05-26 09:38:50,2,5.0,14776.0,591.04
1322,2578,2022-05-26 09:39:02,2,15.0,15016.0,600.64
1323,2579,2022-05-26 09:39:03,0,15.0,15041.0,601.64
1324,2580,2022-05-26 09:39:07,2,4.0,15141.0,605.64
1325,2581,2022-05-26 09:39:08,0,4.0,15166.0,606.64
1326,2582,2022-05-26 09:39:27,0,14.0,15402.0,616.08
1327,2583,2022-05-26 09:39:28,2,14.0,15427.0,617.08
1328,2584,2022-05-26 09:39:28,0,5.0,15427.0,617.08
1329,2585,2022-05-26 09:39:34,2,5.0,15577.0,623.08
1330,2586,2022-05-26 09:43:26,4,15.0,15816.0,632.64
1331,2587,2022-05-26 09:43:34,4,3.0,16016.0,640.64
1332,2588,2022-05-26 09:44:56,4,13.0,16346.0,653.84
1333,2589,2022-05-26 09:45:04,4,5.0,16546.0,661.84
1334,2590,2022-05-26 09:49:11,0,19.0,16682.0,667.28
1335,2591,2022-05-26 09:49:21,0,2.0,16931.0,677.24
1336,2592,2022-05-26 09:49:30,0,12.0,17156.0,686.24
1337,2593,2022-05-26 09:49:43,0,5.0,17481.0,699.24
1338,2594,2022-05-26 09:50:09,0,15.0,17731.0,709.24
1339,2595,2022-05-26 09:53:45,0,2.0,18232.0,729.28
1340,2596,2022-05-26 09:55:13,0,12.0,18551.0,742.04
1341,2597,2022-05-26 09:55:15,0,9.0,18601.0,744.04
1342,2598,2022-05-26 09:58:08,0,19.0,18826.0,753.04
1343,2599,2022-05-26 09:59:28,0,2.0,20106.0,804.24
1344,2600,2022-05-26 09:59:35,2,15.0,20281.0,811.24
1345,2601,2022-05-26 09:59:42,0,12.0,20456.0,818.24
1346,2602,2022-05-26 09:59:53,2,4.0,20731.0,829.24
1347,2603,2022-05-26 09:59:56,0,9.0,20806.0,832.24
1348,2604,2022-05-26 10:00:24,0,19.0,21206.0,848.24
1349,2605,2022-05-26 10:00:42,0,2.0,21656.0,866.24
1350,2606,2022-05-26 10:01:13,0,12.0,22192.0,887.68
1351,2607,2022-05-26 10:01:16,0,9.0,22267.0,890.68
1352,2608,2022-05-26 10:01:20,0,19.0,22366.0,894.64
1353,2609,2022-05-26 10:02:20,0,2.0,23506.0,940.24
1354,2610,2022-05-26 10:02:43,2,14.0,23781.0,951.24
1355,2611,2022-05-26 10:02:44,2,5.0,23806.0,952.24
1356,2612,2022-05-26 10:02:52,2,15.0,24006.0,960.24
1357,2613,2022-05-26 10:02:54,2,4.0,24056.0,962.24
1358,2614,2022-05-26 10:04:01,4,15.0,24591.0,983.64
1359,2615,2022-05-26 10:04:03,4,4.0,24641.0,985.64
1360,2616,2022-05-26 10:04:14,4,14.0,24876.0,995.04
1361,2617,2022-05-26 10:04:21,4,6.0,25051.0,1002.04
1362,2618,2022-05-26 10:05:13,4,16.0,25531.0,1021.24
1363,2619,2022-05-26 10:05:19,4,6.0,25681.0,1027.24
1364,2620,2022-05-26 10:05:55,4,16.0,25902.0,1036.08
1365,2621,2022-05-26 10:06:05,0,12.0,26152.0,1046.08
1366,2622,2022-05-26 10:06:11,4,1.0,26301.0,1052.04
1367,2623,2022-05-26 10:06:15,0,3.0,26401.0,1056.04
1368,2624,2022-05-26 10:06:23,0,13.0,26601.0,1064.04
1369,2625,2022-05-26 10:06:31,0,2.0,26801.0,1072.04
1370,2626,2022-05-26 10:06:34,0,12.0,26876.0,1075.04
1371,2627,2022-05-26 10:06:39,0,2.0,27001.0,1080.04
1372,2628,2022-05-26 10:07:46,4,11.0,27576.0,1103.04
1373,2629,2022-05-26 10:07:48,0,12.0,27626.0,1105.04
1374,2630,2022-05-26 10:07:56,0,0.0,27826.0,1113.04
1375,2631,2022-05-26 10:08:07,0,2.0,28101.0,1124.04
1376,2632,2022-05-26 10:08:09,4,6.0,28151.0,1126.04
1377,2633,2022-05-26 10:13:07,0,12.0,28922.0,1156.88
1378,2634,2022-05-26 10:13:09,0,2.0,28972.0,1158.88
1379,2635,2022-05-26 10:13:41,4,16.0,29211.0,1168.44
1380,2636,2022-05-26 10:13:49,4,2.0,29411.0,1176.44
1381,2637,2022-05-26 10:14:52,4,12.0,30146.0,1205.84
1382,2638,2022-05-26 10:14:59,4,1.0,30321.0,1212.84
1383,2639,2022-05-26 10:15:53,4,11.0,30931.0,1237.24
1384,2640,2022-05-26 10:16:22,4,6.0,31656.0,1266.24
1385,2641,2022-05-26 10:16:38,4,16.0,31876.0,1275.04
1386,2642,2022-05-26 10:16:59,4,4.0,32401.0,1296.04
1387,2643,2022-05-26 10:17:29,4,14.0,32671.0,1306.84
1388,2644,2022-05-26 10:17:36,4,5.0,32846.0,1313.84
1389,2645,2022-05-26 10:18:19,0,12.0,33081.0,1323.24
1390,2646,2022-05-26 10:18:27,0,3.0,33281.0,1331.24
1391,2647,2022-05-26 10:18:36,0,13.0,33506.0,1340.24
1392,2648,2022-05-26 10:18:43,0,2.0,33681.0,1347.24
1393,2649,2022-05-26 10:19:23,0,12.0,33981.0,1359.24
1394,2650,2022-05-26 10:19:23,0,2.0,33981.0,1359.24
1395,2651,2022-05-26 10:21:09,0,12.0,34251.0,1370.04
1396,2652,2022-05-26 10:21:17,0,2.0,34451.0,1378.04
1397,2653,2022-05-26 10:21:45,0,12.0,34811.0,1392.44
1398,2654,2022-05-26 10:22:20,0,3.0,35686.0,1427.44
1399,2655,2022-05-26 10:23:10,0,13.0,36176.0,1447.04
1400,2656,2022-05-26 10:26:15,0,3.0,40801.0,1632.04
1401,2657,2022-05-26 10:26:56,0,13.0,41066.0,1642.64
1402,2658,2022-05-26 10:27:52,4,15.0,42466.0,1698.64
1403,2659,2022-05-26 10:28:01,4,6.0,42691.0,1707.64
1404,2660,2022-05-26 10:28:49,4,16.0,43891.0,1755.64
1405,2661,2022-05-26 10:29:12,0,3.0,44466.0,1778.64
1406,2662,2022-05-26 10:29:20,0,13.0,44666.0,1786.64
1407,2663,2022-05-26 10:29:27,0,3.0,44841.0,1793.64
